node,id,degree(int),label(string),value(int)
,0,5,0,1
,1,7,1,1
,2,3,2,1
,3,8,3,1
,4,2,4,1
,5,2,5,1
,6,3,6,1
,7,5,7,1
,8,5,8,1
,9,4,9,1
,10,5,10,1
,11,4,11,1
,12,3,12,1
,13,10,13,3
,14,2,14,1
,15,10,15,3

edge,id,from,to
,0,0,13
,1,0,9
,2,0,11
,3,1,9
,4,2,0
,5,2,1
,6,3,7
,7,3,8
,8,3,10
,9,3,4
,10,3,1
,11,3,12
,12,3,2
,13,3,15
,14,4,13
,15,5,0
,16,6,13
,17,6,9
,18,7,12
,19,8,6
,20,8,1
,21,10,7
,22,10,1
,23,11,10
,24,13,15
,25,13,14
,26,13,1
,27,13,11
,28,13,7
,29,13,5
,30,13,8
,31,14,15
,32,15,8
,33,15,9
,34,15,11
,35,15,7
,36,15,12
,37,15,10
,38,15,1
