NODE,id(int),degree(int),label(string),value(int)
,0,4,0,1
,1,6,1,1
,2,11,2,2
,3,2,3,1
,4,4,4,1
,5,4,5,1
,6,5,6,1
,7,6,7,1
,8,10,8,3
,9,5,9,1
,10,4,10,1
,11,9,11,1
,12,2,12,1
,13,3,13,1
,14,3,14,1
,15,4,15,1

EDGE,id(int),from(int),to(int)
,0,0,10
,1,0,7
,2,1,3
,3,1,9
,4,2,13
,5,2,0
,6,2,6
,7,2,7
,8,2,15
,9,2,14
,10,2,9
,11,2,8
,12,2,1
,13,2,11
,14,4,7
,15,4,10
,16,4,15
,17,5,9
,18,5,15
,19,5,7
,20,6,15
,21,6,14
,22,8,4
,23,8,7
,24,8,12
,25,8,14
,26,8,10
,27,8,6
,28,8,1
,29,8,9
,30,8,5
,31,11,7
,32,11,1
,33,11,0
,34,11,6
,35,11,9
,36,11,3
,37,11,13
,38,11,10
,39,12,2
,40,13,1
