NODE,id(int),degree(int),label(string),value(int)
,1,4,1,1
,2,2,2,1
,3,3,3,1
,4,4,4,1
,5,5,5,1
,6,4,6,1
,7,6,7,1
,8,6,8,1
,9,2,9,1
,10,3,10,1
,11,10,11,3
,12,3,12,1
,13,4,13,1
,14,2,14,1
,15,2,15,1
,16,3,16,1
,17,2,17,1
,18,5,18,1
,19,2,19,1
,20,6,20,1
,21,10,21,2
,22,3,22,1
,23,10,23,3
,24,8,24,1
,25,1,25,1
,26,3,26,1
,27,3,27,1
,28,3,28,1
,29,4,29,1
,30,8,30,1
,31,3,31,1
,32,4,32,1
,33,3,33,1
,34,5,34,1
,35,1,35,1
,36,3,36,1
,37,3,37,1
,38,1,38,1
,39,1,39,1
,40,1,40,1

EDGE,id(int),from(int),to(int)
,1,0,19
,2,1,18
,3,2,13
,4,2,36
,5,2,28
,6,3,28
,7,3,26
,8,4,21
,9,5,4
,10,5,15
,11,5,19
,12,6,32
,13,6,27
,14,6,19
,15,7,27
,16,7,29
,17,7,11
,18,8,19
,19,9,1
,20,9,29
,21,10,30
,22,10,31
,23,10,16
,24,10,3
,25,10,19
,26,10,33
,27,10,0
,28,10,7
,29,10,22
,30,10,28
,31,11,26
,32,11,21
,33,12,21
,34,12,36
,35,14,7
,36,15,12
,37,15,3
,38,16,17
,39,17,26
,40,17,0
,41,18,5
,42,20,31
,43,20,14
,44,20,8
,45,20,35
,46,20,38
,47,20,13
,48,20,17
,49,20,4
,50,20,33
,51,22,36
,52,22,28
,53,22,9
,54,22,30
,55,22,19
,56,22,6
,57,22,12
,58,22,4
,59,22,33
,60,23,30
,61,23,33
,62,23,7
,63,23,35
,64,23,6
,65,23,27
,66,23,39
,67,23,31
,68,24,20
,69,25,4
,70,25,6
,71,25,32
,72,29,31
,73,29,35
,74,29,0
,75,29,33
,76,29,37
,77,29,34
,78,32,17
