NODE,id(int),degree(int),label(string),value(int)
,0,18,0,7
,1,2,1,1
,2,4,2,2
,3,18,3,7
,4,20,4,7
,5,18,5,7
,6,6,6,3
,7,2,7,1
,8,6,8,3
,9,2,9,1
,10,4,10,2
,11,6,11,3
,12,16,12,6
,13,16,13,6
,14,2,14,1
,15,20,15,7
,16,16,16,6
,17,6,17,3
,18,16,18,6
,19,18,19,7

EDGE,id(int),from(int),to(int)
,1,0,8
,2,0,16
,3,0,12
,4,0,19
,5,0,9
,6,0,6
,7,0,15
,8,0,3
,9,0,1
,10,1,15
,11,2,3
,12,2,9
,13,3,5
,14,3,7
,15,3,2
,16,3,1
,17,3,19
,18,3,13
,19,3,14
,20,3,18
,21,3,11
,22,4,6
,23,4,10
,24,4,18
,25,4,19
,26,4,7
,27,4,15
,28,4,1
,29,4,11
,30,4,5
,31,4,9
,32,5,17
,33,5,9
,34,5,2
,35,5,11
,36,5,16
,37,5,10
,38,5,18
,39,5,19
,40,5,15
,41,6,1
,42,6,10
,43,6,13
,44,7,18
,45,8,12
,46,8,18
,47,8,4
,48,9,1
,49,10,8
,50,10,6
,51,11,5
,52,11,14
,53,11,13
,54,12,11
,55,12,4
,56,12,7
,57,12,0
,58,12,18
,59,12,19
,60,12,17
,61,12,10
,62,13,18
,63,13,6
,64,13,15
,65,13,10
,66,13,12
,67,13,16
,68,13,8
,69,13,3
,70,14,0
,71,15,0
,72,15,17
,73,15,3
,74,15,16
,75,15,6
,76,15,9
,77,15,2
,78,15,4
,79,15,14
,80,15,12
,81,16,11
,82,16,15
,83,16,3
,84,16,12
,85,16,19
,86,16,17
,87,16,4
,88,16,5
,89,17,18
,90,17,5
,91,17,14
,92,18,19
,93,18,8
,94,18,6
,95,18,0
,96,18,5
,97,18,4
,98,18,1
,99,18,9
,100,19,4
,101,19,7
,102,19,13
,103,19,15
,104,19,10
,105,19,6
,106,19,0
,107,19,1
,108,19,17
